vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
9890,61.4055915910,-55.5771644663,5,0,31,2,-28,-41,0.5944084090,0.4228355337,0.7294595570,-36
9891,60.4055915910,-53.1629509039,3,2,30,3,-27,-40,-0.4055915910,0.8370490961,0.9301374780,-34
9892,60.6984848098,-53.8700576851,3,2,31,2,-27,-40,1.3015151902,0.1299423149,1.3079857780,-34
9893,61.4055915910,-53.1629509039,4,3,31,3,-27,-40,0.5944084090,0.8370490961,1.0266316506,-33
9894,59.6984848098,-50.4558441227,5,1,30,3,-25,-39,0.3015151902,-0.4558441227,0.5465393619,-31
9895,60.4055915910,-49.7487373415,4,2,30,4,-25,-39,-0.4055915910,0.2512626585,0.4771136785,-30
9896,60.6984848098,-50.4558441227,3,2,31,3,-25,-39,1.3015151902,-0.4558441227,1.3790343195,-30
9897,61.4055915910,-49.7487373415,5,3,31,4,-25,-39,0.5944084090,0.2512626585,0.6453326896,-29
9898,60.4055915910,-47.3345237792,3,1,30,5,-24,-38,-0.4055915910,0.6654762208,0.7793350622,-27
9899,60.6984848098,-48.0416305603,3,1,31,4,-24,-38,1.3015151902,-0.0416305603,1.3021808222,-27
9900,61.4055915910,-47.3345237792,4,2,31,5,-24,-38,0.5944084090,0.6654762208,0.8922891668,-26
9901,60.4055915910,-44.9203102168,3,0,30,6,-23,-37,-0.4055915910,1.0796897832,1.1533579525,-24
9902,60.6984848098,-45.6274169980,3,0,31,5,-23,-37,1.3015151902,0.3725830020,1.3537946239,-24
9903,61.4055915910,-44.9203102168,3,1,31,6,-23,-37,0.5944084090,1.0796897832,1.2324980262,-23
9904,59.6984848098,-42.2132034356,5,3,30,6,-21,-36,0.3015151902,-0.2132034356,0.3692791828,-21
9905,60.4055915910,-41.5060966544,4,0,30,7,-21,-36,-0.4055915910,0.4939033456,0.6390970611,-20
9906,60.6984848098,-42.2132034356,4,0,31,6,-21,-36,1.3015151902,-0.2132034356,1.3188621972,-20
9907,61.4055915910,-41.5060966544,5,1,31,7,-21,-36,0.5944084090,0.4939033456,0.7728271938,-19
9908,60.4055915910,-39.0918830920,3,3,30,8,-20,-35,-0.4055915910,0.9081169080,0.9945757172,-17
9909,60.6984848098,-39.7989898732,3,3,31,7,-20,-35,1.3015151902,0.2010101268,1.3169460358,-17
9910,61.4055915910,-39.0918830920,4,0,31,8,-20,-35,0.5944084090,0.9081169080,1.0853560131,-16
9911,59.6984848098,-36.3847763109,5,2,30,8,-18,-34,0.3015151902,-0.3847763109,0.4888396662,-14
9912,60.4055915910,-35.6776695297,4,3,30,9,-18,-34,-0.4055915910,0.3223304703,0.5180747734,-13
9913,60.6984848098,-36.3847763109,4,3,31,8,-18,-34,1.3015151902,-0.3847763109,1.3572010167,-13
9914,61.4055915910,-35.6776695297,5,0,31,9,-18,-34,0.5944084090,0.3223304703,0.6761791839,-12
9915,60.4055915910,-33.2634559673,3,2,30,10,-17,-33,-0.4055915910,0.7365440327,0.8408339020,-10
9916,60.6984848098,-33.9705627485,3,2,31,9,-17,-33,1.3015151902,0.0294372515,1.3018480487,-10
9917,61.4055915910,-33.2634559673,4,3,31,10,-17,-33,0.5944084090,0.7365440327,0.9464768718,-9
9918,59.6984848098,-30.5563491861,5,1,30,10,-15,-32,0.3015151902,-0.5563491861,0.6327999896,-7
9919,60.4055915910,-29.8492424049,4,2,30,11,-15,-32,-0.4055915910,0.1507575951,0.4327035835,-6
9920,60.6984848098,-30.5563491861,3,2,31,10,-15,-32,1.3015151902,-0.5563491861,1.4154385211,-6
9921,61.4055915910,-29.8492424049,5,3,31,11,-15,-32,0.5944084090,0.1507575951,0.6132285130,-5
9922,60.4055915910,-27.4350288425,4,1,30,12,-14,-31,-0.4055915910,0.5649711575,0.6954832474,-3
9923,60.6984848098,-28.1421356237,3,1,31,11,-14,-31,1.3015151902,-0.1421356237,1.3092533467,-3
