family,extent,offx,offy,lambda,policy,movable_feasible_frac,frac_escalated,partner_turnover,abs_con_med,abs_con_p95,abs_con_max,abs_unc_med,abs_unc_p95,abs_unc_max,ratio_med_paired,ratio_p95_paired,reps
golden,18,0.13,0.37,0.5,A,1.0000,0.0622,0.3601,0.6944,2.0668,3.7563,1.4238,3.4036,5.5796,0.4787,0.6071,40
golden,18,0.13,0.37,0.5,B,0.9378,0.0622,0.3201,0.6944,2.0537,3.7563,1.4574,3.4022,5.5796,0.4765,0.5999,40
golden,18,0.13,0.37,1.0,A,1.0000,0.0622,0.4553,0.6944,2.0754,3.8224,1.4254,3.4039,5.5796,0.4872,0.6090,40
golden,18,0.13,0.37,1.0,B,0.9378,0.0622,0.3981,0.7101,2.0754,3.5237,1.4355,3.4016,5.5796,0.4877,0.6098,40
golden,18,0.13,0.37,2.0,A,1.0000,0.0622,0.5628,0.7799,2.1161,3.9359,1.4029,3.4036,4.7444,0.5483,0.6339,40
golden,18,0.13,0.37,2.0,B,0.9378,0.0622,0.5170,0.7856,2.0998,3.6640,1.4570,3.4036,5.5796,0.5372,0.6246,40
golden,18,0.29,0.11,0.25,A,1.0000,0.0000,0.2651,0.7163,2.1424,3.4827,1.4941,3.3875,4.5679,0.4770,0.6317,40
golden,18,0.29,0.11,0.25,B,1.0000,0.0000,0.2600,0.7163,2.1424,3.4827,1.4848,3.3875,4.5679,0.4763,0.6300,40
golden,18,0.29,0.11,0.5,A,1.0000,0.0000,0.3200,0.7163,2.1424,3.4827,1.4941,3.4010,4.3205,0.4794,0.6291,40
golden,18,0.29,0.11,0.5,B,1.0000,0.0000,0.3225,0.7163,2.1424,3.4827,1.4694,3.3917,4.2713,0.4791,0.6316,40
golden,18,0.29,0.11,1.0,A,1.0000,0.0000,0.4433,0.7740,2.1424,3.4827,1.4933,3.3977,4.5679,0.5182,0.6316,40
golden,18,0.29,0.11,1.0,B,1.0000,0.0000,0.4433,0.7740,2.1424,3.4827,1.4691,3.3917,4.4442,0.5164,0.6320,40
golden,18,0.29,0.11,2.0,A,1.0000,0.0000,0.5630,0.8671,2.1944,3.4827,1.4933,3.3917,4.3205,0.5828,0.6478,40
golden,18,0.29,0.11,2.0,B,1.0000,0.0000,0.5861,0.8088,2.1944,3.4827,1.4937,3.3875,4.3205,0.5507,0.6511,40
golden,18,0.41,0.23,0.25,A,1.0000,0.0000,0.3120,0.6668,2.3258,3.3395,1.4320,3.3890,5.0774,0.4656,0.6835,40
golden,18,0.41,0.23,0.25,B,1.0000,0.0000,0.3284,0.6668,2.3041,3.3244,1.4310,3.3898,5.0774,0.4659,0.6814,40
golden,18,0.41,0.23,0.5,A,1.0000,0.0000,0.3536,0.6668,2.2850,3.4383,1.4302,3.3890,5.0774,0.4662,0.6767,40
