substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,depth_low_q25,0,256,1.0,234.550032952781,0.007058823529411765,30,1.293431345513764,1.8477590650210158
AB_N30,depth_low_q25,0,256,2.0,234.550032952781,0.020705882352941178,88,1.2065265690282716,1.4142135623730951
AB_N30,depth_low_q25,0,256,3.0,234.550032952781,0.031058823529411764,132,1.3133016454907995,1.4142135623365477
AB_N30,depth_low_q25,0,512,1.0,448.5092223050739,0.002352941176470588,10,1.1086554390240901,1.84775906504015
AB_N30,depth_low_q25,0,512,2.0,448.5092223050739,0.01011764705882353,43,1.1411245078882988,1.4142135623
AB_N30,depth_low_q25,0,512,3.0,448.5092223050739,0.019058823529411763,81,1.2504081214561333,1.08239220030269
AB_N30,depth_low_q25,0,1024,1.0,809.3830534428729,0.0007058823529411765,3,0.6159196883467167,0.0
AB_N30,depth_low_q25,0,1024,2.0,809.3830534428729,0.004470588235294118,19,1.0424804557646887,0.7653668647374601
AB_N30,depth_low_q25,0,1024,3.0,809.3830534428729,0.0075294117647058826,32,1.3234577872974906,1.248302881301345
AB_N30,texture_high_depth_high,0,64,1.0,59.962527173463926,0.012753188297074268,17,0.3260751291170467,0.0
AB_N30,texture_high_depth_high,0,64,2.0,59.962527173463926,0.08852213053263316,118,0.8230504905111872,0.76536686473746
AB_N30,texture_high_depth_high,0,64,3.0,59.962527173463926,0.12153038259564891,162,0.8934889795858726,0.7653668647757284
AB_N30,texture_high_depth_high,0,128,1.0,117.21034396059511,0.010502625656414103,14,0.6599139517934545,0.0
AB_N30,texture_high_depth_high,0,128,2.0,117.21034396059511,0.03975993998499625,53,0.8476928929906985,0.76536686473746
AB_N30,texture_high_depth_high,0,128,3.0,117.21034396059511,0.06001500375093773,80,0.926903909202277,1.0823922002644217
AB_N30,texture_high_depth_high,0,256,1.0,230.6571002186964,0.006001500375093774,8,0.23096988313001876,0.0
AB_N30,texture_high_depth_high,0,256,2.0,230.6571002186964,0.0277569392348087,37,0.7901127492777246,0.76536686473746
AB_N30,texture_high_depth_high,0,256,3.0,230.6571002186964,0.035258814703675916,47,0.8522998665130076,0.76536686473746
AB_N30,texture_high_depth_high,0,512,1.0,431.78563211254817,0.0,0,,
AB_N30,texture_high_depth_high,0,512,2.0,431.78563211254817,0.011252813203300824,15,0.8518797577316449,0.76536686473746
AB_N30,texture_high_depth_high,0,512,3.0,431.78563211254817,0.016504126031507877,22,0.9252246258137347,0.7653668647565941
AB_N30,texture_high_depth_high,0,1024,1.0,808.529456189281,0.0015003750937734434,2,0.0,0.0
AB_N30,texture_high_depth_high,0,1024,2.0,808.529456189281,0.006001500375093774,8,0.5740251485674456,0.76536686473746
AB_N30,texture_high_depth_high,0,1024,3.0,808.529456189281,0.009752438109527382,13,0.7695509376904984,0.7653668647757284
AB_N30,texture_low_depth_low,0,64,1.0,57.63895733987505,0.02442528735632184,51,1.086917097082441,1.8477590650401499
AB_N30,texture_low_depth_low,0,64,2.0,57.63895733987505,0.08764367816091954,183,1.0759405367673818,0.7653668647757284
AB_N30,texture_low_depth_low,0,64,3.0,57.63895733987505,0.13505747126436782,282,1.1931214404678623,1.08239220030269
