substrate,lambda,seed,walkers,alpha_vs_cost_time,alpha_vs_cost_time_r2,alpha_vs_steps,alpha_vs_steps_r2,mean_cost_time_at_1024,msd_phys_at_1024,near_return_frac_d2,near_return_mean_perp_mismatch,final_mean_perp_mismatch
AB_N30,16,2,5000,0.9451159418783545,0.9991649606921081,0.9454509354793386,0.9992203755451808,1980024.3017479447,791.4871866576191,0.0054,0.926387251004656,1.0935116217211867
AB_N30,16,3,5000,0.9387239029578188,0.9998883479292957,0.9421593632304759,0.9998728501099441,1974325.8879155754,822.6589764641519,0.0066,0.9556485161257614,1.0806430255344142
AB_N30,16,4,5000,0.9466231354284127,0.999432726018847,0.9503837668382952,0.9994569040342023,1971654.5133488334,819.0890257449778,0.007,0.9317904147824804,1.0970525527901787
AB_N30,16,5,5000,0.9344650221022979,0.9997153277125044,0.9382162525635531,0.9997160502177114,1969967.3565941474,819.1002237247865,0.004,1.1566080773537901,1.0716211354345353
AB_N30,16,6,5000,0.9539636462504908,0.9994391319769445,0.9515331910457376,0.9995582276253479,1979257.7890826652,810.6905369481667,0.007,0.9572266521478332,1.0936655311694798
AB_N30,16,7,5000,0.9461185009083808,0.9994200937189338,0.9481429194847888,0.9995007920000882,1982737.8072136277,798.6944336803798,0.0076,1.0558016693379344,1.0817342869674569
AB_N30,16,8,5000,0.9488380321417239,0.9995228170229122,0.9508956665004074,0.9995554371943128,1973850.206062098,809.7919082041499,0.0076,1.152799505573044,1.0934340618320135
AB_N30,16,9,5000,0.9321119682502227,0.9989601754038097,0.9353491330869782,0.9989421516958717,1974276.6902542305,796.027072931673,0.0068,1.0234815782286049,1.080509007361442
AB_N30,18,0,5000,0.9470151822767147,0.9996725282410192,0.9485430278349666,0.9996784526451424,6899696.043178685,821.4182018906072,0.0086,0.9990006824485177,1.0735739044375532
AB_N30,18,1,5000,0.9282011432738356,0.999889154678274,0.9351329494235826,0.9998286366875321,6904687.61154665,814.137562775588,0.0074,1.0814076230725322,1.0876069406070545
AB_N30,18,2,5000,0.940718273551296,0.9995752434021627,0.9402988591270287,0.9996567572532422,6882203.83038578,805.5672236036888,0.005,1.0722701974202968,1.0754251431970945
AB_N30,18,3,5000,0.9513920014666247,0.9998031201920557,0.9548129782662454,0.9997554774294064,6877949.945657159,826.1275821906024,0.0052,1.1700566794843557,1.0823135778174193
AB_N30,18,4,5000,0.9367760182825388,0.9996491975909216,0.9390737553328345,0.9996796363978697,6870756.667871644,814.728065791066,0.0074,1.0850428067474858,1.1023406370432987
AB_N30,18,5,5000,0.9627254414329041,0.9986402168014008,0.9589840076800827,0.9987215105796595,6882531.964379019,808.3784582771867,0.005,0.9164292654785235,1.0855583258763513
AB_N30,18,6,5000,0.9423463112484357,0.9996914077336975,0.9485196261546486,0.999632432265435,6881676.687425786,822.4824334916736,0.0054,1.0448654868531309,1.0981148630415596
AB_N30,18,7,5000,0.9358043778526373,0.9998949260118223,0.9405153867656864,0.999861255277861,6880624.148642145,809.2430904699613,0.0056,0.9930415047901845,1.0878009379980111
AB_N30,18,8,5000,0.9282779070611726,0.9995795181432438,0.9325497147666907,0.9995176762518102,6902669.732548944,809.2501899649283,0.0068,0.9413431559660675,1.0782228411691341
AB_N30,18,9,5000,0.9440639268195938,0.9995719574576808,0.9468252764346824,0.9995141464348719,6888987.737820332,824.0139112540772,0.0078,0.863729650389931,1.0911566365683043
AB_N30,20,0,5000,0.9560566724784278,0.9993047773296566,0.9558822543405251,0.9992734131187471,24358721.058734164,832.3467064433938,0.008,1.059594659336809,1.0826715802160685
AB_N30,20,1,5000,0.949904100916093,0.9998414536127723,0.9502580821112768,0.9998619465089644,24339984.385054387,823.9508554099027,0.0088,0.9739842092127369,1.0864988444214316
AB_N30,20,2,5000,0.9447002075246093,0.999822300507363,0.945761604392166,0.9997946367501637,24429892.782395244,814.5702202934424,0.0064,0.9381394790413977,1.0857170322787788
AB_N30,20,3,5000,0.957101052836081,0.9997103687210626,0.9556907873229542,0.999693865336115,24420962.101026848,819.191041805431,0.0062,0.8413646616866494,1.0765136114294618
AB_N30,20,4,5000,0.9305667431979965,0.9996615682730708,0.9335889736358891,0.9996785092488575,24389165.720544335,794.9745938127066,0.0068,1.0670836222262814,1.0764926075499748
AB_N30,20,5,5000,0.9350660340293033,0.9995224296067087,0.9364842374846943,0.9994979112910254,24335929.8791055,802.1113575741953,0.0066,1.0054761156486816,1.0771155766913747
AB_N30,20,6,5000,0.9326357693048202,0.9997330257440249,0.934746051872355,0.9996979856719699,24296449.470678087,802.2861687574155,0.0086,0.8820487686542767,1.099633080440512
AB_N30,20,7,5000,0.948441045904173,0.9998164812935504,0.950554337985743,0.999808673862604,24369536.0053693,814.7316505674686,0.0044,1.2627731020158235,1.0866859781080265
AB_N30,20,8,5000,0.9469965757001342,0.9995979397158762,0.9489352152731985,0.9996397219860231,24368605.30888621,817.0647698588563,0.0052,1.0848058997718797,1.0684333655755822
AB_N30,20,9,5000,0.9428592013644007,0.9996978918594435,0.9433346847227331,0.9997175092825069,24407481.21095017,800.8900408650907,0.0052,0.9692468261663063,1.0891772109218876
Penrose_N24,0,0,5000,0.9410193618583163,0.9999691072027538,0.9410193618583163,0.9999691072027538,1024.0,815.3794373896542,0.0082,0.9879956066482015,1.1449875379486603
Penrose_N24,0,1,5000,0.9654148638015294,0.9999708436035839,0.9654148638015294,0.9999708436035839,1024.0,838.8258876936956,0.0062,1.1262201334563355,1.1466901382914163
Penrose_N24,0,2,5000,0.9619015690495779,0.9997012227596839,0.9619015690495779,0.9997012227596839,1024.0,833.9645395402318,0.0072,1.112527920758206,1.1209304761204673
Penrose_N24,0,3,5000,0.9759550618205443,0.9996207557438495,0.9759550618205443,0.9996207557438495,1024.0,840.3960806800702,0.0078,1.104632759439262,1.137449749282835
