substrate,seed,threshold,control,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
Penrose_N24,4,2.0,real,119,1.0571051452991007,1.1755705045741416,0.9945510813108759,1.0260188347026908,0.7772286137806653,1.2245751210901494,0.9745385836786329,1.1894226024510788,0.889168045775475,1.2734856389160802,67,52,0.14033808280636095,-0.29792884042376444,-0.08371722275551545,-0.3262026715432708,0.915806056495034,0.44264666979124584,287.39595283168853
Penrose_N24,4,3.0,real,163,1.2244997291266857,1.175570504631771,1.200791542709902,1.1536153091050814,0.9283815156501521,1.493172339712036,1.34839733375233,1.295323845299957,1.0519439747700827,1.4320330012582763,89,74,0.1344280284826659,-0.3706596991116216,0.004745167433062738,-0.3948031959235213,0.9155897405727584,0.42493712812989876,287.9065024169616
Penrose_N24,5,1.0,real,17,0.38071387970528714,0.0,0.32360679773331136,0.32360679775233253,0.0,0.0,0.6472135955046651,0.32360679773331136,0.4314757303326588,0.0,15,2,-0.11374065906462587,-0.03131989162649118,0.22088765673420094,-0.04945246046288081,0.9172399749821112,0.4434737460723768,285.34683646598097
Penrose_N24,5,2.0,real,115,1.0430040643788017,1.1755705045741416,0.9229535170672635,1.1806327501636935,0.8077712742222883,1.369262788791462,1.1908591449955235,1.0666561230104166,0.8967753150235632,1.2971635573057634,73,42,-0.16565835084567535,-0.29905053453573305,-0.039931930309714266,-0.2885605449673026,0.9173880726676766,0.4114016519765595,286.8374122048059
Penrose_N24,5,3.0,real,149,1.20931985127115,1.1755705046,1.0606506533449298,1.4145877983397317,0.949701137489068,1.6140613091671674,1.3950778451906767,1.2008969279834185,0.9759119260905252,1.5279401935812098,86,63,-0.21394847153672783,-0.34271321262966986,0.044033930298476825,-0.332501566327183,0.9147032763084516,0.40517537936689624,287.16320846820776
Penrose_N24,6,1.0,real,23,0.7738423424360635,0.0,0.6934431380351462,1.0786893257978505,0.8090169943827227,0.8090169943478506,0.8090169943388886,0.26967233146216857,0.6472135954894012,1.0112712429610557,15,8,-0.04411217894579972,0.11706885321853794,0.06682012170007873,0.13524392632095933,0.925437156047179,0.3961220453024903,288.11434463427537
Penrose_N24,6,2.0,real,138,1.0170213669143868,1.1755705045366651,0.9533649722269408,1.0602127297374262,0.7847864522901529,1.0972041758972215,1.1463464054774246,0.9597530171086402,0.949076303721792,1.1079986549180312,79,59,-0.09558575280515859,-0.22389304189807838,0.08543831854138771,-0.22776994798384298,0.919095975561703,0.4396851118851648,287.1569777040841
Penrose_N24,6,3.0,real,172,1.1661360149629825,1.1755705045741416,1.0999238002315161,1.2326419055018973,0.8859023592837001,1.3787704161199168,1.3322657196419039,1.0701641774418447,1.018805894890243,1.3278398052867209,90,82,-0.10161712877040076,-0.3409987171751766,0.12564243142421802,-0.33727645499350717,0.9177587990818784,0.41420609385569346,287.4487133210591
Penrose_N24,7,1.0,real,20,0.6472135954986717,0.0,0.32360679775233253,0.6472135955046651,0.6472135955046651,0.6472135954907545,0.6472135954907545,0.9708203932469349,0.40450849718727105,1.6180339887442743,16,4,-0.17101351409165058,-0.1054369034249274,-0.203939409861696,-0.101969704930848,0.9278262749626721,0.4275476876153238,287.6875251978296
Penrose_N24,7,2.0,real,124,1.0445234055403365,1.1755705045741416,0.8993049034941568,1.1394987941672332,0.8688674968434175,1.315344607753413,0.9411295954446737,1.1049465669258567,0.9077616832032123,1.2001488137170637,66,58,-0.13910455646813352,-0.31575301271111966,-0.15605257911696868,-0.30861080774579114,0.9148383109316552,0.45489564732939475,288.3236750056899
Penrose_N24,7,3.0,real,167,1.1960483822909755,1.1755705046,1.0819604059449073,1.3284312901200612,0.9951430616314535,1.4745524188222057,1.1242468247023598,1.2584231687906153,1.0517551878363633,1.3492485640576009,86,81,-0.13108971548606294,-0.3311275605563656,-0.10396405468173285,-0.32367333795683406,0.9134228648101911,0.44518485443559175,288.2445960024011
Penrose_N24,8,1.0,real,22,0.6619229953971426,0.0,0.5393446629288352,0.8090169943491294,0.2696723314666667,0.8090169943846143,1.078689325811298,0.8090169943827227,0.4314757303316162,1.1557385633946993,15,7,0.043789078233591155,-0.25575360185706136,0.04505832687804308,-0.28938869093503716,0.910951316147088,0.4719183475077536,287.812218771334
