arm,patch,pair,seed,replicate,budget,S_local_null
regular,0,1,10,2,100,0.00000
regular,0,1,10,2,300,1.00000
regular,0,1,10,2,1000,2.00000
regular,0,2,10,2,100,16.00000
regular,0,2,10,2,300,28.00000
regular,0,2,10,2,1000,34.00000
regular,0,0,10,3,100,-1.00000
regular,0,0,10,3,300,-1.00000
regular,0,0,10,3,1000,2.00000
regular,0,1,10,3,100,-1.00000
regular,0,1,10,3,300,-1.00000
regular,0,1,10,3,1000,2.00000
regular,0,2,10,3,100,6.00000
regular,0,2,10,3,300,7.00000
regular,0,2,10,3,1000,34.00000
regular,0,0,10,4,100,0.00000
regular,0,0,10,4,300,1.00000
regular,0,0,10,4,1000,2.00000
regular,0,1,10,4,100,0.00000
regular,0,1,10,4,300,1.00000
regular,0,1,10,4,1000,2.00000
regular,0,2,10,4,100,27.00000
regular,0,2,10,4,300,29.00000
regular,0,2,10,4,1000,34.00000
regular,0,0,11,0,100,0.00000
regular,0,0,11,0,300,0.00000
regular,0,0,11,0,1000,-2.00000
regular,0,1,11,0,100,0.00000
regular,0,1,11,0,300,0.00000
regular,0,1,11,0,1000,-2.00000
regular,0,2,11,0,100,0.00000
regular,0,2,11,0,300,2.00000
regular,0,2,11,0,1000,2.00000
regular,0,0,11,1,100,-2.00000
regular,0,0,11,1,300,-2.00000
regular,0,0,11,1,1000,-2.00000
regular,0,1,11,1,100,-2.00000
regular,0,1,11,1,300,-2.00000
regular,0,1,11,1,1000,-2.00000
regular,0,2,11,1,100,0.00000
regular,0,2,11,1,300,1.00000
regular,0,2,11,1,1000,2.00000
regular,0,0,11,2,100,0.00000
regular,0,0,11,2,300,0.00000
regular,0,0,11,2,1000,-2.00000
regular,0,1,11,2,100,0.00000
regular,0,1,11,2,300,0.00000
regular,0,1,11,2,1000,-2.00000
regular,0,2,11,2,100,-1.00000
regular,0,2,11,2,300,1.00000
regular,0,2,11,2,1000,2.00000
regular,0,0,11,3,100,-2.00000
regular,0,0,11,3,300,-2.00000
regular,0,0,11,3,1000,-2.00000
regular,0,1,11,3,100,-2.00000
regular,0,1,11,3,300,-2.00000
regular,0,1,11,3,1000,-2.00000
regular,0,2,11,3,100,-1.00000
regular,0,2,11,3,300,1.00000
regular,0,2,11,3,1000,1.00000
regular,0,0,11,4,100,0.00000
regular,0,0,11,4,300,-1.00000
regular,0,0,11,4,1000,-2.00000
regular,0,1,11,4,100,0.00000
regular,0,1,11,4,300,-1.00000
regular,0,1,11,4,1000,-2.00000
regular,0,2,11,4,100,-1.00000
regular,0,2,11,4,300,0.00000
regular,0,2,11,4,1000,0.00000
regular,0,0,12,0,100,-26.00000
regular,0,0,12,0,300,-36.00000
regular,0,0,12,0,1000,-36.00000
regular,0,1,12,0,100,-26.00000
regular,0,1,12,0,300,-36.00000
regular,0,1,12,0,1000,-36.00000
regular,0,2,12,0,100,-19.00000
regular,0,2,12,0,300,-28.00000
regular,0,2,12,0,1000,-30.00000
regular,0,0,12,1,100,-5.00000
regular,0,0,12,1,300,-11.00000
regular,0,0,12,1,1000,-36.00000
regular,0,1,12,1,100,-5.00000
regular,0,1,12,1,300,-11.00000
regular,0,1,12,1,1000,-36.00000
regular,0,2,12,1,100,-8.00000
regular,0,2,12,1,300,-12.00000
regular,0,2,12,1,1000,-30.00000
regular,0,0,12,2,100,-2.00000
regular,0,0,12,2,300,-35.00000
regular,0,0,12,2,1000,-36.00000
regular,0,1,12,2,100,-2.00000
regular,0,1,12,2,300,-35.00000
regular,0,1,12,2,1000,-36.00000
regular,0,2,12,2,100,-8.00000
regular,0,2,12,2,300,-29.00000
regular,0,2,12,2,1000,-30.00000
regular,0,0,12,3,100,-33.00000
regular,0,0,12,3,300,-35.00000
regular,0,0,12,3,1000,-36.00000
regular,0,1,12,3,100,-33.00000
regular,0,1,12,3,300,-35.00000
regular,0,1,12,3,1000,-36.00000
regular,0,2,12,3,100,-25.00000
regular,0,2,12,3,300,-30.00000
regular,0,2,12,3,1000,-30.00000
regular,0,0,12,4,100,-5.00000
regular,0,0,12,4,300,-35.00000
regular,0,0,12,4,1000,-36.00000
regular,0,1,12,4,100,-5.00000
regular,0,1,12,4,300,-35.00000
regular,0,1,12,4,1000,-36.00000
regular,0,2,12,4,100,-9.00000
regular,0,2,12,4,300,-30.00000
regular,0,2,12,4,1000,-30.00000
regular,0,0,13,0,100,0.00000
regular,0,0,13,0,300,-7.00000
regular,0,0,13,0,1000,-11.00000
regular,0,1,13,0,100,0.00000
regular,0,1,13,0,300,-7.00000
regular,0,1,13,0,1000,-11.00000
regular,0,2,13,0,100,2.00000
regular,0,2,13,0,300,-6.00000
regular,0,2,13,0,1000,-6.00000
regular,0,0,13,1,100,-8.00000
regular,0,0,13,1,300,-10.00000
regular,0,0,13,1,1000,-11.00000
regular,0,1,13,1,100,-8.00000
regular,0,1,13,1,300,-10.00000
regular,0,1,13,1,1000,-11.00000
regular,0,2,13,1,100,-4.00000
regular,0,2,13,1,300,-6.00000
regular,0,2,13,1,1000,-7.00000
regular,0,0,13,2,100,-1.00000
regular,0,0,13,2,300,-5.00000
regular,0,0,13,2,1000,-8.00000
regular,0,1,13,2,100,-1.00000
regular,0,1,13,2,300,-5.00000
regular,0,1,13,2,1000,-8.00000
regular,0,2,13,2,100,1.00000
regular,0,2,13,2,300,0.00000
regular,0,2,13,2,1000,-3.00000
regular,0,0,13,3,100,-7.00000
regular,0,0,13,3,300,-10.00000
regular,0,0,13,3,1000,-11.00000
regular,0,1,13,3,100,-7.00000
regular,0,1,13,3,300,-10.00000
regular,0,1,13,3,1000,-11.00000
regular,0,2,13,3,100,-6.00000
regular,0,2,13,3,300,-5.00000
regular,0,2,13,3,1000,-6.00000
regular,0,0,13,4,100,-4.00000
regular,0,0,13,4,300,-5.00000
regular,0,0,13,4,1000,-11.00000
regular,0,1,13,4,100,-4.00000
regular,0,1,13,4,300,-5.00000
regular,0,1,13,4,1000,-11.00000
regular,0,2,13,4,100,-4.00000
regular,0,2,13,4,300,-4.00000
regular,0,2,13,4,1000,-6.00000
regular,0,0,14,0,100,6.00000
regular,0,0,14,0,300,3.00000
regular,0,0,14,0,1000,-8.00000
regular,0,1,14,0,100,6.00000
regular,0,1,14,0,300,3.00000
regular,0,1,14,0,1000,-8.00000
regular,0,2,14,0,100,8.00000
regular,0,2,14,0,300,7.00000
regular,0,2,14,0,1000,4.00000
regular,0,0,14,1,100,-8.00000
regular,0,0,14,1,300,-8.00000
regular,0,0,14,1,1000,-6.00000
regular,0,1,14,1,100,-8.00000
regular,0,1,14,1,300,-8.00000
regular,0,1,14,1,1000,-6.00000
regular,0,2,14,1,100,-4.00000
regular,0,2,14,1,300,13.00000
regular,0,2,14,1,1000,15.00000
regular,0,0,14,2,100,6.00000
regular,0,0,14,2,300,-4.00000
regular,0,0,14,2,1000,-8.00000
regular,0,1,14,2,100,6.00000
regular,0,1,14,2,300,-4.00000
regular,0,1,14,2,1000,-8.00000
regular,0,2,14,2,100,11.00000
regular,0,2,14,2,300,6.00000
regular,0,2,14,2,1000,13.00000
regular,0,0,14,3,100,-2.00000
regular,0,0,14,3,300,-1.00000
regular,0,0,14,3,1000,-8.00000
regular,0,1,14,3,100,-2.00000
regular,0,1,14,3,300,-1.00000
regular,0,1,14,3,1000,-8.00000
regular,0,2,14,3,100,-2.00000
regular,0,2,14,3,300,11.00000
regular,0,2,14,3,1000,13.00000
regular,0,0,14,4,100,3.00000
regular,0,0,14,4,300,5.00000
regular,0,0,14,4,1000,5.00000
regular,0,1,14,4,100,3.00000
regular,0,1,14,4,300,5.00000
regular,0,1,14,4,1000,5.00000
regular,0,2,14,4,100,12.00000
regular,0,2,14,4,300,22.00000
regular,0,2,14,4,1000,22.00000
regular,0,0,15,0,100,-5.00000
regular,0,0,15,0,300,-5.00000
regular,0,0,15,0,1000,17.00000
regular,0,1,15,0,100,-9.00000
regular,0,1,15,0,300,-12.00000
regular,0,1,15,0,1000,9.00000
regular,0,2,15,0,100,-14.00000
regular,0,2,15,0,300,-17.00000
regular,0,2,15,0,1000,-11.00000
regular,0,0,15,1,100,19.00000
regular,0,0,15,1,300,20.00000
regular,0,0,15,1,1000,21.00000
regular,0,1,15,1,100,15.00000
regular,0,1,15,1,300,19.00000
regular,0,1,15,1,1000,12.00000
regular,0,2,15,1,100,-6.00000
regular,0,2,15,1,300,-4.00000
regular,0,2,15,1,1000,-12.00000
regular,0,0,15,2,100,1.00000
regular,0,0,15,2,300,1.00000
regular,0,0,15,2,1000,21.00000
regular,0,1,15,2,100,1.00000
regular,0,1,15,2,300,-6.00000
regular,0,1,15,2,1000,17.00000
regular,0,2,15,2,100,1.00000
regular,0,2,15,2,300,-18.00000
regular,0,2,15,2,1000,-7.00000
regular,0,0,15,3,100,9.00000
regular,0,0,15,3,300,12.00000
regular,0,0,15,3,1000,19.00000
regular,0,1,15,3,100,10.00000
regular,0,1,15,3,300,13.00000
regular,0,1,15,3,1000,19.00000
regular,0,2,15,3,100,0.00000
regular,0,2,15,3,300,3.00000
regular,0,2,15,3,1000,-2.00000
regular,0,0,15,4,100,1.00000
regular,0,0,15,4,300,14.00000
regular,0,0,15,4,1000,13.00000
regular,0,1,15,4,100,-5.00000
regular,0,1,15,4,300,7.00000
regular,0,1,15,4,1000,4.00000
regular,0,2,15,4,100,-13.00000
regular,0,2,15,4,300,-24.00000
regular,0,2,15,4,1000,-28.00000
regular,0,0,16,0,100,0.00000
regular,0,0,16,0,300,0.00000
regular,0,0,16,0,1000,0.00000
regular,0,1,16,0,100,0.00000
regular,0,1,16,0,300,0.00000
regular,0,1,16,0,1000,0.00000
regular,0,2,16,0,100,0.00000
regular,0,2,16,0,300,0.00000
regular,0,2,16,0,1000,0.00000
regular,0,0,16,1,100,0.00000
regular,0,0,16,1,300,0.00000
regular,0,0,16,1,1000,0.00000
regular,0,1,16,1,100,0.00000
regular,0,1,16,1,300,0.00000
regular,0,1,16,1,1000,0.00000
regular,0,2,16,1,100,0.00000
regular,0,2,16,1,300,0.00000
