substrate,seed,linger_n,n_walkers,mean_start_depth,mean_disturb_depth,mean_descend_depth,mean_linger_end_depth,mean_ascend_depth,mean_residue_after_disturb,mean_residue_after_descend,mean_residue_linger_start,mean_residue_linger_end,mean_residue_after_ascend,median_residue_after_ascend,std_residue_after_ascend,mean_phys_dist_final,frac_near_return_2,frac_near_return_3
AB_N30,9,20,5000,0.4848494406686599,0.4778394978088745,0.6085330690623225,0.6039755549448269,0.26422283303518634,1.0260946120776726,0.9274104636458671,0.9274104636458671,0.9314342289391432,1.247383440141697,1.2544294036877324,0.5389909644080744,12.380682796570262,0.0284,0.043
AB_N30,9,40,5000,0.4848494406686599,0.4838918186860012,0.6071900284827404,0.604363159083909,0.26575913359712694,1.0161436490776803,0.9256370740802122,0.9256370740802122,0.9289230517964258,1.2495534208561638,1.2544294036877324,0.5344671247256735,12.457864505533744,0.0312,0.0448
AB_N30,9,80,5000,0.4848494406686599,0.48931763635470327,0.6096960241299805,0.6071551758926984,0.26266407036806777,1.012112238495408,0.9218459526790611,0.9218459526790611,0.9194681773468907,1.2526631307790972,1.2550187560384316,0.5442302559219401,12.782900559186741,0.0244,0.0368
AB_N30,9,160,5000,0.4848494406686599,0.4783728399161505,0.6105202692313821,0.6053901076116894,0.2578414003315088,1.0228713538237084,0.9254103832219093,0.9254103832219093,0.921862694281672,1.2609202050716082,1.2938694649342404,0.5357591806023895,13.222565390225691,0.0226,0.0344
Penrose_N24,0,0,5000,0.5047870768184987,0.5336244930927541,0.6587189407147811,0.6587189407147811,0.32578820845322165,1.1051348533398535,0.9967608790187281,0.9967608790187281,0.9967608790187281,1.3379689485090782,1.328131026102596,0.5955469433833447,12.226978878647028,0.0306,0.0396
Penrose_N24,0,5,5000,0.5047870768184987,0.5333438460879414,0.6546946179649701,0.653033541811202,0.3235524420151586,1.1088351697938705,0.996030542025324,0.996030542025324,0.9874637299072169,1.333622414795336,1.3372822733573595,0.5874844205556813,12.337935101164568,0.0158,0.0458
Penrose_N24,0,10,5000,0.5047870768184987,0.534903806290825,0.6546038212829431,0.6559933457108468,0.32128142427234624,1.0898982561353114,1.000412384051655,1.000412384051655,0.9978633845851207,1.328249471434423,1.3212688622750766,0.5931284392041382,12.452427445040787,0.0248,0.0346
Penrose_N24,0,20,5000,0.5047870768184987,0.5278696593852957,0.6583942530051423,0.6511850753634506,0.32292600638372826,1.1217769801441166,0.997496654678137,0.997496654678137,1.0027397615187874,1.3420217067863665,1.356814780570466,0.5935091236875449,12.380002626885089,0.026,0.0334
Penrose_N24,0,40,5000,0.5047870768184987,0.5370848672077275,0.6547482927989663,0.6555973114153791,0.3174077809538625,1.093773226166227,1.004788970322402,1.004788970322402,0.9921911371094946,1.3451055839236794,1.364850937264107,0.5902232758782412,12.645504190884822,0.0274,0.0354
Penrose_N24,0,80,5000,0.5047870768184987,0.5344438474599166,0.6564570041918437,0.6507433706098654,0.3237322499141159,1.0866541977688102,0.9940529930722413,0.9940529930722413,0.9890398191039194,1.335180012315253,1.3485911728484021,0.5951452656713245,13.026166088799327,0.0282,0.0346
