substrate,seed,threshold,walker_id,phys_return_dist,perp_residue,signed_perp_x,signed_perp_y,loop_area,start_depth,min_depth_visited,mean_depth_visited,visited_shallow,start_texture
AB_N30,0,2.0,4820,1.9999999999673377,1.9999999999673386,-1.4142135623999996,-1.4142135622999998,164.317279834884,0.09660673319943702,0.01849098828023754,0.46775811049390853,True,0.7556016351908214
AB_N30,0,2.0,4876,1.4142135623730951,1.4142135623730951,-0.9999999999999996,1.0000000000000002,302.23506473547144,0.29454064866565743,0.032775332353835784,0.4800962628330735,True,0.940010438245968
AB_N30,0,2.0,5142,1.8477590650401485,0.76536686473746,-0.2928932188000002,0.7071067811999994,290.1891231898622,0.34923978641897324,0.010855439758074237,0.47470571952708335,True,-0.6601627276640926
AB_N30,0,2.0,5217,1.8477590650401536,0.76536686473746,-0.7071067812000009,0.2928932187999995,181.52007562973034,0.3543486953441015,0.018037913707911968,0.48534649147000253,True,-0.6601627276640926
AB_N30,0,2.0,5270,1.4142135623730951,1.4142135623730951,0.9999999999999993,1.0,182.2523086780111,0.41148030779577904,0.02580996315432993,0.4845270175559897,True,-0.6601627276640926
AB_N30,0,2.0,5374,1.8477590650401456,0.76536686473746,-0.7071067811999999,-0.2928932187999984,15.83883476532236,0.603385436930157,0.049455497116966285,0.4893359724038184,True,-0.6601627276640926
AB_N30,0,2.0,6046,1.4142135623730951,1.4142135623730951,-1.0000000000000007,-0.9999999999999998,222.34419177054266,0.12226945772971032,0.010522931577144679,0.4868698057490439,True,0.7556016352149322
AB_N30,0,2.0,6282,1.8477590650401456,0.76536686473746,0.2928932188000002,0.7071067811999998,7.88908729629668,0.7164032469218904,0.026076132131182872,0.47076848861448456,True,1.0491002589004141
AB_N30,0,2.0,6410,1.4142135623999996,1.4142135624,4.440892098500626e-16,1.4142135623999994,25.98528137441128,0.628234847902702,0.017568767024822574,0.4700632090541506,True,-0.6601627276640926
AB_N30,0,2.0,6427,1.847759065040149,0.76536686473746,0.2928932187999995,0.7071067811999991,124.50788232275755,0.6505878570627939,0.02604649306590201,0.47631861197379455,True,-0.6601627276640926
AB_N30,0,2.0,6532,0.7653668647374599,1.84775906504015,1.7071067812000005,-0.7071067812,150.2566196648707,0.46782117773534937,0.00013626652507470194,0.4880780121756097,True,-0.6601627276640926
AB_N30,0,2.0,6700,1.8477590650401472,0.76536686473746,0.7071067812000001,-0.2928932188000011,53.80939751506753,0.3116894094796938,0.01678466858791816,0.49189737326874755,True,-0.6601627276640926
AB_N30,0,2.0,6754,0.7653668647374583,1.84775906504015,1.7071067812000005,-0.7071067811999998,57.516504293945154,0.3199066042440569,0.02573842920064362,0.48118289161403105,True,-0.6601627276640926
AB_N30,0,2.0,6932,1.847759064947764,0.7653668647757282,-0.2928932189000002,0.7071067812000001,199.76271631849744,0.5544381399931873,0.04549505558784439,0.47124536413748036,True,0.6968621179426202
AB_N30,0,2.0,6970,1.847759065040148,0.76536686473746,0.7071067812000007,-0.29289321879999997,147.30687219550248,0.7887428407096281,0.003269900366847822,0.477039044024975,True,-0.6601609638578266
AB_N30,0,2.0,7440,0.7653668647374634,1.84775906504015,-0.7071067811999998,-1.7071067812000005,137.82159082185734,0.2533278422456552,0.03398175201137421,0.4754889839838511,True,-0.7120184531486505
AB_N30,0,2.0,8106,1.847759064947764,0.7653668647757282,-0.2928932189000004,-0.7071067811999998,103.80077554163529,0.14587497615042244,0.026076132131182872,0.4749716085228982,True,-0.7120159587438426
AB_N30,0,2.0,8395,1.4142135624,1.4142135624,1.4142135623999998,-1.1102230246251565e-16,149.5746391497091,0.46582713116319263,0.04395132149249903,0.4769578014964262,True,0.940010438245968
AB_N30,0,2.0,8427,1.8477590650018794,0.7653668646450721,0.7071067811000025,-0.29289321879999997,8.131727984823215,0.240888113064316,0.04725607072279603,0.4825867825605517,True,0.8964834473334211
AB_N30,0,2.0,8458,1.8477590650018787,0.765366864645072,0.7071067811000009,0.29289321879999974,24.838834765483426,0.41066321998983013,0.06693878502985962,0.49261751511454793,True,0.8964834473334211
AB_N30,0,2.0,8760,1.4142135624000005,1.4142135624,-1.4142135624000014,-6.661338147750939e-16,132.96803743139122,0.45096063270433107,0.06119164083580397,0.4726125907845468,True,-0.7120184531486505
AB_N30,0,2.0,8814,1.4142135623730951,1.4142135623730951,1.0000000000000002,1.0,282.40663761285055,0.33487461959928133,0.02573842920064362,0.4917614404470287,True,-0.7120184530613121
AB_N30,0,2.0,9137,0.0,0.0,0.0,-4.440892098500626e-16,68.69848480899579,0.35993860381408205,0.036883927351446744,0.4781460149719608,True,-0.6601627276640926
AB_N30,0,2.0,9234,1.8477590650401536,0.76536686473746,-0.29289321879999997,-0.7071067811999997,62.0017856689567,0.5594327956763483,0.026076132131182872,0.47792612560834263,True,-0.6784785729031022
