linger_steps,max_consecutive_linger,min_idx,excursion,start_depth,min_depth,final_residue,residue_at_min,substrate,seed,threshold
35,1,384,0.40086804179268387,0.4370000429269101,0.03613200113422621,0.76536686473746,0.7088902008379907,AB_N30,0,2.0
8,2,468,0.2638677538286849,0.2640040203537596,0.00013626652507470194,1.4142135623730951,1.5719402101514168,AB_N30,0,2.0
29,4,14,0.4556111749604903,0.46620454038646253,0.010593365425972223,2.0,2.1414449414743264,AB_N30,0,2.0
48,4,111,0.43122384438956274,0.4764292101228548,0.045205365733292036,0.76536686473746,2.171572875239838,AB_N30,0,2.0
11,1,712,0.23678046623010707,0.27813462777144393,0.041354161541336865,0.0,1.8847188395692587,AB_N30,0,2.0
82,4,999,0.48025783101428676,0.524271851927655,0.04401402091336826,0.76536686473746,1.1589416510008435,AB_N30,0,2.0
49,5,162,0.4272733057678001,0.4774968906468453,0.05022358487904521,0.76536686473746,0.686291500960693,AB_N30,0,2.0
50,2,635,0.5080588927463502,0.5338688559006801,0.02580996315432993,0.76536686473746,1.246698498001402,AB_N30,0,2.0
30,2,1006,0.3999024897949316,0.4107287466136872,0.010826256818755597,1.84775906504015,2.0,AB_N30,0,2.0
6,2,32,0.26524362699141046,0.26537989351648517,0.00013626652507470194,0.76536686473746,1.76916429847189,AB_N30,0,2.0
21,3,165,0.37440166969885424,0.40304736303896693,0.028645693340112688,0.76536686473746,0.6568542495,AB_N30,0,2.0
95,5,400,0.6872122214190883,0.7300409947814412,0.04282877336235291,0.76536686473746,1.0446388598175225,AB_N30,0,2.0
14,2,294,0.27197635198220993,0.2824992835593546,0.010522931577144679,0.765366864645072,2.1783401946966263,AB_N30,0,2.0
29,1,701,0.26014550728444985,0.2869703346166552,0.02682482733220537,0.0,2.2934438361907366,AB_N30,0,2.0
24,2,444,0.2617311784763916,0.2971417653127938,0.03541058683640219,0.76536686473746,2.172735461719339,AB_N30,0,2.0
1,1,865,0.1760639341341892,0.1868901909529448,0.010826256818755597,0.76536686473746,1.2891488988175759,AB_N30,0,2.0
74,3,407,0.46203819906867805,0.521786857807911,0.05974865873923296,1.4142135623,1.1589416510230783,AB_N30,0,2.0
81,3,532,0.6451214642900277,0.6682343571952993,0.02311289290527163,1.4142135624,1.1715728752999999,AB_N30,0,2.0
22,1,616,0.2917684411963042,0.33751280750990553,0.04574436631360135,0.7653668647757282,1.7573593128216514,AB_N30,0,2.0
6,1,527,0.22562205143597092,0.23621541686194314,0.010593365425972223,2.0,2.1328868960102914,AB_N30,0,2.0
4,1,698,0.21257335814656864,0.22309628972371331,0.010522931577144679,0.76536686473746,0.7328118463942964,AB_N30,0,2.0
42,3,472,0.44082681847151406,0.47501263955473316,0.0341858210832191,1.84775906504015,1.8364593657929897,AB_N30,0,2.0
76,3,584,0.5784800103156201,0.6337179148586124,0.05523790454299227,0.76536686473746,1.7740310756357256,AB_N30,0,2.0
34,4,466,0.5154601559806089,0.5536567765135938,0.03819662053298489,0.76536686473746,2.074009447981899,AB_N30,0,2.0
13,2,915,0.15386756827175352,0.1995389064013363,0.045671338129582795,2.0,0.29717293715119736,AB_N30,0,2.0
36,3,960,0.4548381078806253,0.48166293521283066,0.02682482733220537,0.76536686473746,1.5632180954004897,AB_N30,0,2.0
4,1,620,0.25430818102963715,0.2752304928047513,0.020922311775114166,0.76536686473746,2.521981303095105,AB_N30,0,2.0
90,6,497,0.5987757883921314,0.6245857515464613,0.02580996315432993,0.76536686473746,1.8444566282173918,AB_N30,0,2.0
45,1,490,0.397321307659499,0.46268428120126703,0.06536297354176801,0.0,1.3693459456040946,AB_N30,0,2.0
57,3,329,0.5426334256898553,0.5856166616776043,0.042983235987749,0.765366864645072,1.8311873247905124,AB_N30,0,2.0
7,1,743,0.2225729844877744,0.24069048191506015,0.018117497427285745,0.765366864645072,0.7002371085361704,AB_N30,0,2.0
38,4,250,0.42925723368575097,0.4827225724884955,0.05346533880274451,1.847759064947762,0.6475061361426407,AB_N30,0,3.0
70,5,100,0.3563191728744437,0.41979558236150494,0.06347640948706124,0.76536686473746,2.1120830373213915,AB_N30,0,3.0
23,7,783,0.26314768706927916,0.2998901494289925,0.036742462359713346,1.4142135623730951,0.8314698640418307,AB_N30,0,3.0
122,5,210,0.7587635328415061,0.8136134252778772,0.05484989243637106,1.08239220030269,1.4348778704687681,AB_N30,0,3.0
18,2,194,0.30054101085734763,0.3005410108580233,6.756817327868703e-13,1.0823922002644217,0.9510760066574219,AB_N30,0,3.0
