arm,patch,pair,history,seed,checkpoint,S_high,n_high,n_active,frac_active,headroom,total_weight,struct_access,eff_alt,bvisit_frac
regular,0,0,A,12,10000,-42.00000,334.00000,520.00000,0.78788,1.61838,5323.66919,108.00000,3371.87870,0.08290
regular,0,0,B,12,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,12,100,0.00000,2.00000,46.00000,0.06970,4.79045,896.27344,58.00000,533.78687,0.03000
regular,0,0,B,12,200,-2.00000,4.00000,72.00000,0.10909,4.66492,1024.00439,62.00000,538.93733,0.01500
regular,0,0,B,12,400,-1.00000,10.00000,112.00000,0.16970,4.47277,1232.47729,65.00000,545.17196,0.07000
regular,0,0,B,12,1000,-2.00000,35.00000,156.00000,0.23636,4.02292,1682.49710,69.00000,695.14150,0.11500
regular,0,0,B,12,2000,3.00000,75.00000,198.00000,0.30000,3.59420,2148.38138,73.00000,991.69752,0.09850
regular,0,0,B,12,5000,7.00000,166.00000,398.00000,0.60303,2.63974,3672.76155,101.00000,2284.97861,0.09240
regular,0,0,B,12,10000,10.00000,327.00000,574.00000,0.86970,1.61610,5563.16533,108.00000,3320.69028,0.09500
regular,0,0,A,13,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
regular,0,0,A,13,100,0.00000,2.00000,46.00000,0.06970,4.79763,890.95605,73.00000,783.38036,0.00000
regular,0,0,A,13,200,0.00000,3.00000,90.00000,0.13636,4.65487,1055.93018,79.00000,819.58866,0.00000
regular,0,0,A,13,400,0.00000,12.00000,136.00000,0.20606,4.40709,1323.70630,83.00000,850.18964,0.01250
regular,0,0,A,13,1000,-5.00000,38.00000,234.00000,0.35455,3.87685,1972.41019,93.00000,1631.22958,0.02700
regular,0,0,A,13,2000,-17.00000,82.00000,338.00000,0.51212,3.34743,2740.10084,98.00000,1945.64285,0.04050
regular,0,0,A,13,5000,-45.00000,196.00000,460.00000,0.69697,2.42357,4130.77467,107.00000,2450.03750,0.07560
regular,0,0,A,13,10000,-59.00000,344.00000,588.00000,0.89091,1.52299,5744.00771,108.00000,3550.89285,0.08790
regular,0,0,B,13,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,560.12132,0.00000
regular,0,0,B,13,100,-2.00000,4.00000,40.00000,0.06061,4.83386,857.11304,62.00000,673.27202,0.00000
regular,0,0,B,13,200,-2.00000,7.00000,66.00000,0.10000,4.68884,997.79504,71.00000,1108.17642,0.00000
regular,0,0,B,13,400,-2.00000,17.00000,108.00000,0.16364,4.44056,1252.22966,77.00000,1254.28887,0.00000
regular,0,0,B,13,1000,1.00000,41.00000,184.00000,0.27879,4.00048,1757.57599,82.00000,1397.23193,0.03000
regular,0,0,B,13,2000,2.00000,80.00000,282.00000,0.42727,3.46549,2476.21474,93.00000,1738.34527,0.03000
regular,0,0,B,13,5000,-9.00000,198.00000,482.00000,0.73030,2.42261,4210.59380,106.00000,2590.47024,0.05520
regular,0,0,B,13,10000,3.00000,354.00000,610.00000,0.92424,1.44868,5939.47558,108.00000,3312.12535,0.08500
regular,0,0,A,14,0,0.00000,0.00000,22.00000,0.03333,4.96339,743.25000,57.00000,557.27986,0.00000
